Job_Role_Name,Skill_Name
Software Engineer,Java
Software Engineer,Python
Engineer (Hardware),Computer Science
Engineer (Hardware),System Hardware
Data Engineer,Database Systems
Data Engineer,Data Pipeline
Data Engineer,Data Analytics
Mobile Developer,Dart
Mobile Developer,React
Mobile Developer,Java
Mobile Developer,React Native
Mobile Developer,Kotlin
Mobile Developer,Swift
Product Manager,Communication
Product Manager,Data Analytics
Product Manager,Design Thinking
Product Manager,Business Acumen
Accountant,Mathematics
Human Resource,Payroll
People Operations,Communication
Public Affairs,Communication
Growth Lead,Communication
Social Media Lead,Communication
Marketing Lead,Communication
